,mass_A,
t,x,y
0.00E+00,-3.58E-01,1.59E-01
3.33E-02,-3.60E-01,1.65E-01
6.67E-02,-3.64E-01,1.63E-01
1.00E-01,-3.71E-01,1.70E-01
1.33E-01,-3.71E-01,1.70E-01
1.67E-01,-3.71E-01,1.70E-01
2.00E-01,-3.75E-01,1.74E-01
2.33E-01,-3.75E-01,1.72E-01
2.67E-01,-3.79E-01,1.74E-01
3.00E-01,-3.79E-01,1.76E-01
3.33E-01,-3.82E-01,1.79E-01
3.67E-01,-3.82E-01,1.79E-01
4.00E-01,-3.82E-01,1.79E-01
4.33E-01,-3.82E-01,1.77E-01
4.67E-01,-3.82E-01,1.77E-01
5.00E-01,-3.82E-01,1.77E-01
5.33E-01,-3.77E-01,1.74E-01
5.67E-01,-3.64E-01,1.70E-01
6.00E-01,-3.53E-01,1.61E-01
6.33E-01,-3.38E-01,1.47E-01
6.67E-01,-3.14E-01,1.36E-01
7.00E-01,-2.86E-01,1.23E-01
7.33E-01,-2.55E-01,1.09E-01
7.67E-01,-2.18E-01,9.52E-02
8.00E-01,-1.79E-01,8.37E-02
8.33E-01,-1.40E-01,6.78E-02
8.67E-01,-9.13E-02,6.05E-02
9.00E-01,-3.88E-02,5.32E-02
9.33E-01,1.16E-02,4.81E-02
9.67E-01,6.21E-02,4.74E-02
1.00E+00,1.15E-01,5.11E-02
1.03E+00,1.63E-01,6.36E-02
1.07E+00,2.14E-01,7.16E-02
1.10E+00,2.54E-01,8.21E-02
1.13E+00,2.93E-01,9.03E-02
1.17E+00,3.29E-01,1.07E-01
1.20E+00,3.59E-01,1.18E-01
1.23E+00,3.84E-01,1.26E-01
1.27E+00,4.06E-01,1.35E-01
1.30E+00,4.21E-01,1.43E-01
1.33E+00,4.21E-01,1.43E-01
1.37E+00,4.21E-01,1.43E-01
1.40E+00,4.21E-01,1.41E-01
1.43E+00,4.08E-01,1.37E-01
1.47E+00,3.92E-01,1.28E-01
1.50E+00,3.64E-01,1.16E-01
1.53E+00,3.33E-01,1.03E-01
1.57E+00,3.00E-01,9.02E-02
1.60E+00,2.60E-01,7.98E-02
1.63E+00,2.18E-01,6.72E-02
1.67E+00,1.70E-01,5.69E-02
1.70E+00,1.19E-01,5.10E-02
1.73E+00,7.31E-02,4.73E-02
1.77E+00,1.60E-02,4.59E-02
1.80E+00,-3.45E-02,4.66E-02
1.83E+00,-7.61E-02,5.37E-02
1.87E+00,-1.22E-01,6.32E-02
1.90E+00,-1.66E-01,7.47E-02
1.93E+00,-1.99E-01,8.40E-02
1.97E+00,-2.31E-01,9.54E-02
2.00E+00,-2.62E-01,1.11E-01
2.03E+00,-2.88E-01,1.23E-01
2.07E+00,-3.08E-01,1.34E-01
2.10E+00,-3.27E-01,1.43E-01
2.13E+00,-3.36E-01,1.50E-01
2.17E+00,-3.45E-01,1.52E-01
2.20E+00,-3.49E-01,1.56E-01
2.23E+00,-3.47E-01,1.54E-01
2.27E+00,-3.38E-01,1.52E-01
2.30E+00,-3.32E-01,1.47E-01
2.33E+00,-3.18E-01,1.41E-01
2.37E+00,-2.99E-01,1.31E-01
2.40E+00,-2.77E-01,1.20E-01
2.43E+00,-2.49E-01,1.09E-01
2.47E+00,-2.23E-01,9.75E-02
2.50E+00,-1.90E-01,8.61E-02
2.53E+00,-1.48E-01,7.23E-02
2.57E+00,-1.09E-01,6.08E-02
2.60E+00,-6.51E-02,5.36E-02
2.63E+00,-2.56E-02,5.30E-02
2.67E+00,2.26E-02,5.02E-02
2.70E+00,6.21E-02,4.74E-02
2.73E+00,1.15E-01,5.11E-02
2.77E+00,1.59E-01,5.70E-02
2.80E+00,2.03E-01,6.74E-02
2.83E+00,2.36E-01,7.57E-02
2.87E+00,2.73E-01,8.18E-02
2.90E+00,3.02E-01,9.46E-02
2.93E+00,3.28E-01,1.05E-01
2.97E+00,3.51E-01,1.14E-01
3.00E+00,3.66E-01,1.18E-01
3.03E+00,3.77E-01,1.22E-01
3.07E+00,3.81E-01,1.22E-01
3.10E+00,3.81E-01,1.22E-01
3.13E+00,3.79E-01,1.20E-01
3.17E+00,3.62E-01,1.13E-01
3.20E+00,3.44E-01,1.05E-01
3.23E+00,3.15E-01,9.66E-02
3.27E+00,2.89E-01,8.60E-02
3.30E+00,2.53E-01,7.77E-02
3.33E+00,2.18E-01,6.50E-02
3.37E+00,1.79E-01,5.68E-02
3.40E+00,1.32E-01,5.30E-02
3.43E+00,9.06E-02,4.26E-02
3.47E+00,4.67E-02,4.32E-02
3.50E+00,5.00E-03,4.38E-02
3.53E+00,-4.10E-02,5.11E-02
3.57E+00,-8.26E-02,5.60E-02
3.60E+00,-1.20E-01,6.09E-02
3.63E+00,-1.59E-01,7.03E-02
3.67E+00,-1.94E-01,8.17E-02
3.70E+00,-2.20E-01,9.31E-02
3.73E+00,-2.47E-01,1.00E-01
3.77E+00,-2.66E-01,1.11E-01
3.80E+00,-2.86E-01,1.20E-01
3.83E+00,-2.97E-01,1.29E-01
3.87E+00,-3.08E-01,1.32E-01
3.90E+00,-3.12E-01,1.34E-01
